题目id	Latex
2360	If 2 different representatives are to be selected at random from a group of 10 employees and if p is the probability that both representatives selected will be women, is $$p >\frac1 2$$ ?[br/](1)More than $$\frac1 2$$ of the 10 employees are women.[br/](2)The probability that both representatives selected will be men is less than $$\frac1 {10}$$.
2361	If $${v}{m}{t}!={0}$$, is $${v}^{2}{m}^{3}{t}^{4} >{0}$$?[br/](1)$${m} >{v}^{2}$$[br/](2)$${m} >{t}^{4}$$
2363	For all integers n, the function f is defined by $${f}({n})={a}^{n}$$, where a is a constant. What is the value of $$f (1)$$?[br/](1)$$f (2) = 100$$[br/](2)$$f (3) = -1,000$$
2364	What is the value of $$({x}-{y})^{4}$$?[br/](1)The product of x and y is 7.[br/](2)x and y are integers.
2365	Mary persuaded n friends to donate $500 each to her election campaign, and then each of these n friends persuaded n more people to donate $500 each to Mary's campaign. If no one donated more than once and if there were no other donations, what was the value of n?[br/](1)The first n people donated $$\frac1 {16}$$ of the total amount donated.[br/](2)The total amount donated was $120,000.
2367	What is the value of the integer k?[br/](1)$$k + 3  > 0$$[br/](2)$${k}^{4}\le{0}$$
2381	What is the value of xy?[br/](1)$${2}^{(x+y)}=4$$[br/](2)$${2}^{(x+3y)}=16$$
2383	If y is an integer and $${y}=\mid {x}\mid+{x}$$, is $$y = 0$$?[br/](1)$${x}< {0}$$[br/](2)$$y<1$$
2385	If x is negative, is $$x < -3$$?[br/](1)$${x}^{2} >{9}$$[br/](2)$${x}^{3}<-{9}$$
2386	If n is a positive integer that is less than 10, what is the value of n?[br/](1)n is the tenth digit in the decimal representation of $$\frac1 n$$.[br/](2)n is the hundredth digit in the decimal representation of $$\frac1 n$$
2388	p is an integer; n is an integer; and $$\frac p n$$ is an integer. Is $$\frac p n$$ odd?[br/](1)p is divisible by 4.[br/](2)n is divisible by 4.
2390	How many liters of apple juice were added to the cranberry juice in a certain container?[br/](1)The amount of apple juice that was added was $$\frac3 2$$ the amount of cranberry juice in the container.[br/](2)There were 5 liters of cranberry juice in the container.
2393	A box contains 10 light bulbs, fewer than half of which are defective. Two bulbs are to be drawn simultaneously from the box. If n of the bulbs in box are defective, what is the value of n?[br/](1)The probability that the two bulbs to be drawn will be defective is $$\frac 1 {15}$$.[br/](2)The probability that one of the bulbs to be drawn will be defective and the other will not be defective is $$\frac 7 {15}$$.
2397	What is the total number of executives at Company P?[br/](1)The number of male executives is $$\frac3 5$$ the number of female executives.[br/](2)There are 4 more female executives than male executives.
2398	[img]0322.jpg[/img] What is the volume of the cube above?[br/](1)The surface area of the cube is 600 square inches.[br/](2)The length of diagonal AB is $${10}\sqrt3$$ inches.
2402	If a, b, c, and d are positive integers, is $$(\frac {a} {b})(\frac {c} {d}) >\frac {c} {b}$$?[br/](1)$$c  > b$$[br/](2)$$a  > d$$
2406	Is $${x}{y} >{x}^{2}{y}^{2}$$?[br/](1)$${14}{x}^{2}={3}$$[br/](2)$${y}^{2}={1}$$
2407	A total of $60,000 was invested for one year. Part of this amount earned simple annual interest at the rate of x percent per year, and the rest earned simple annual interest at the rate of y percent per year. If the total interest earned by the $60,000 for that year was $4,080, what is the value of x?[br/](1)$${x}=\frac {3y} {4}$$[br/](2)The ratio of the amount that earned interest at the rate of x percent per year to the amount that earned interest at the rate of y percent per year was 3 to 2.
2410	Is $${x}^{2}+{y}^{2} >{6}$$?[br/](1)$$({x}+{y})^{2} >{6}$$[br/](2)$$xy = 2$$
2413	If $${x}\neq{0}$$, is $$\frac {x^2} {\mid x\mid}<{1}$$?[br/](1)$$x < 1$$[br/](2)$$x  > -1$$
2415	Of the cans of peaches inspected yesterday at a certain plant, 1.5 percent failed to pass inspection. Of the cans that failed inspection, $$\frac5 6$$ were incorrectly labeled and the rest were dented. If all of the cans that were incorrectly labeled or dented failed inspection, how many of the cans of peaches inspected yesterday at the plant were dented?[br/](1)450 of the cans of peaches inspected yesterday at the plant failed to pass inspection.[br/](2)29,550 of the cans of peaches inspected yesterday at the plant passed inspection.
2416	The annual rent collected by a corporation from a certain building was x percent more in 1998 than in 1997 and y percent less in 1999 than in 1998. Was the annual rent collected by the corporation from the building more in 1999 than in 1997?[br/](1)$$x  > y$$[br/](2)$$\frac{xy} {100}<{x}-{y}$$
2417	If m and v are integers, what is the value of $$m + v$$?[br/](1)$$mv = 6$$[br/](2)$$({m}+{v})^{2}={25}$$
2418	The number n of units of its product that Company X is scheduled to produce in month t of its next fiscal year is given by the formula $${n}=\frac{900} {1+{c2}^{-t}}$$, where c is a constant and t is a positive integer between 1 and 6, inclusive. What is the number of units of its product that Company X is scheduled to produce in month 6 of its next fiscal year?[br/](1)Company X is scheduled to produce 180 units of its product in month 1 of its next fiscal year.[br/](2)Company X is scheduled to produce 300 units of its product in month 2 of its next fiscal year.
2419	If n is an integer and $$100 < n <200$$, what is the value of n?[br/](1)$$\frac n {36}$$is an odd integer.[br/](2)$$\frac n {45}$$is an even integer.
2423	If x is a positive integer, is the remainder 0 when $${3}^{x}+{1}$$ is divided by 10?[br/](1)$$x = 4n + 2$$, where n is a positive integer.[br/](2)$$x >4$$
2425	What is the value of the integer n?[br/](1)$$n(n + 2) = 15$$[br/](2)$$({n}+{2})^{n}={125}$$
2430	Is x an odd integer?[br/](1)$$x + 3$$ is an even integer.[br/](2)$$\frac x 3$$ is an odd integer.
2434	What is the value of $$\mid x + 7\mid$$?[br/](1)$$\mid x + 3\mid= 14$$[br/](2)$$({x}+{2})^{2}={169}$$
2435	When 200 gallons of oil were removed from a tank, the volume of oil left in the tank was $$\frac 3 7$$ of the tank's capacity. What was the tank's capacity?[br/](1)Before the 200 gallons were removed, the volume of oil in the tank was $$\frac1 2$$ of the tank's capacity.[br/](2)After the 200 gallons were removed, the volume of oil left in the tank was 1,600 gallons less than the tank's capacity.
2436	For a certain play performance, adults' tickets were sold for $12 each and children's tickets were sold for $8 each. How many children's tickets were sold for the performance?[br/](1)The total revenue from the sale of adults' and children's tickets for the performance was $5,040.[br/](2)The number of adults' tickets sold for the performance was $$\frac1 3$$ the total number of adults' and children's tickets sold for the performance.
2439	What is the value of $$\frac {3^{-(x+y)}} {3^{-(x-y)}}$$?[br/](1)$$x = 2$$[br/](2)$$y = 3$$
2442	[img]0623.jpg[/img][br/]In the figure shown, what is the area of the circular region with center O and diameter BC?[br/](1)$$\frac {BC}{AB}=\frac3 4$$[br/](2)BD = 25
2447	If $$\frac x {600}=\frac y {300}$$, is y equal to 1,000?[br/](1)$$x + y = 3,000$$[br/](2)$$3x = 6,000$$
2449	In the xy-plane, line l and line k intersect at the point $$(\frac{16} 5,\frac{12} 5)$$. What is the slope of line l?[br/](1)The product of the slopes of line l and line k is -1.[br/](2)Line k passes through the origin.
2451	If k, m, and t are positive integers and $$\frac k 6+\frac m 4=\frac t {12}$$, do t and 12 have a common factor greater than 1 ?[br/](1)k is a multiple of 3.[br/](2)m is a multiple of 3.
2453	If $${x}^{2}+{3}{x}+{c}=({x}+{a})({x}+{b})$$ for all x, what is the value of c ?[br/](1)$$a = 1$$[br/](2)$$b = 2$$
2455	Is the number of seconds required to travel $${d}_{1}$$ feet at $${r}_{1}$$ feet per second greater than the number of seconds required to travel $${d}_{2}$$ feet at $${r}_{2}$$ feet per second?[br/](1)$${d}_{1}$$ is 30 greater than $${d}_{2}$$.[br/](2)$${r}_{1}$$ is 30 greater than $${r}_{2}$$.
2460	What is the value of $${x}^{5}$$ ?[br/](1)$${x}^{2}={9}$$[br/](2)$${x}^{3} >{9}$$
2462	What is the value of $$x$$ ?[br/](1)$${x}^{2}+{y}^{2}$$ = 25[br/](2)$$xy = 12$$
2463	A clothing store acquired an item at a cost of x dollars and sold the item for y dollars. The store's gross profit from the item was what percent of its cost for the item?[br/](1)$$y - x = 20$$[br/](2)$$\frac y x=\frac5 4$$
2474	If x and y are positive, is $$4x>{3y}$$?[br/](1)$$x>{y-x}$$[br/](2)$$\frac x y<1$$
2475	Is $$x  > k$$?[br/](1)$${2}^{x}*{2}^{k}={4}$$[br/](2)$${9}^{x}*{3}^{k}={81}$$
2476	If x and y are positive, what is the value of $$x -y$$?[br/](1)$$\frac {x^2-y^2} {x+y}={1}$$[br/](2)$$x+y=7$$
2482	In the xy-plane, point (r, s) lies on a circle with center at the origin. What is the value of $${r}^{2}+{s}^{2}$$?[br/](1)The circle has radius 2.[br/](2)The point $$(\sqrt 2$$, $$-\sqrt2)$$ lies on the circle.
2491	If $${s}^{4}{v}^{3}{x}^{7}<{0}$$, is $$svx<0$$?[br/](1)$$v<0$$[br/](2)$$v >0$$
2499	If n is a positive integer, what is the value of the hundreds digit of $${30}^{n}$$?[br/](1)$${30}^{n} >{1},{000}$$[br/](2)n is a multiple of 3.
2500	On Monday a store had a sale on bottles of juice S and juice T. If $$\frac1 2$$ the total number of bottles of juice S in stock were sold on Monday, for which juice, S or T, were more of the bottles sold that day?[br/](1)Two-thirds of the total number of bottles of juice T in stock were sold on Monday.[br/](2)At the beginning of the sale, there was a total of 90 bottles of juice S and 60 bottles of juice T in stock.
2505	If $$xyz  > 0$$, is $${x}{y}^{2}{z}^{3} < 0$$ ?[br/](1)$$y < 0$$[br/](2)$$x  > 0$$
2512	What is the value of $${x}^{2}$$ ?[br/](1)$${5}<{x}^{2}<{10}$$[br/](2)x is an integer.
2514	What is the value of $${p}^{r}$$?[br/](1)$$p = 1$$[br/](2)$$r = 1$$
2520	If $$x$$ and $$y$$ are positive integers, what is the value of $$x$$?[br/](1)$${3}^{x}{5}^{y}={1},{125}$$[br/](2)$$y = 3$$
2522	$10,000 is deposited in a certain account that pays r percent annual interest compounded annually, the amount D(t), in dollars, that the deposit will grow to in t years is given by $${D}({t})=10,000[1+(\frac r {100})]^{t}$$. What amount will the deposit grow to in 3 years?[br/](1)$$D(1)=11,000$$[br/](2)$$r =10$$
2528	If $$xy \neq 0$$, what is the value of $$\frac {25x^2} {y^2}$$?[br/](1)$$x = 3$$[br/](2)$$5x - 2y = 0$$
2531	What is the value of $${v}^{3}-{k}^{3}$$?[br/](1)$$v k  > 0$$[br/](2)$$v - k = 6$$
2536	If a and b are positive, is $$(a^{-1}+b^{-1})^{-1}$$ less than $$(a^{-1}*b^{-1})^{-1}$$?[br/](1)$$a = 2b$$[br/](2)$$a + b  > 1$$
2538	If $$xy!=0$$, is $$\frac x y=1$$?[br/](1)$$x^2=y^2$$[br/](2)$$xy >0$$
2542	$$\frac {4.8(10^9)} {1.6(10^3)}=$$
2544	The points R, T, and U lie on a circle that has radius 4. If the length of arc RTU is $$\frac4 3\pi$$, what is the length of line segment RU?
2545	When n liters of fuel was added to a tank that was already $$\frac1 3$$ full, the tank was filled to $$\frac7 9$$ of its capacity. In terms of n, what is the capacity of the tank, in liters?
2546	If n is a positive integer, what is the remainder when $${3}^{8n+3}+2$$ is divided by 5?
2547	Of all the students in a certain dormitory, $$\frac1 2$$ are first-year students and the rest are second-year students. If $$\frac4 5$$ of the first-year students have not declared a major and if the fraction of second-year students who have declared a major is 3 times the fraction of first-year students who have declared a major, what fraction of all the students in the dormitory are second-year students who have not declared a major?
2548	If p is the product of the integers from 1 to 30, inclusive, what is the greatest integer k for which $$3^k$$ is a factor of p?
2551	The age of the Earth is approximately $${1.3}*{10}^{17}$$ seconds, and one year is approximately $${3.2}*{10}^{7}$$ seconds. Which of the following is closest to the age of the Earth in years?
2553	If the sequence $${x}_{1}$$, $${x}_{2}$$, $${x}_{3}$$, …, $${x}_{n}$$, … is such that $${x}_{1}={3}$$ and $${x}_{n+1}={2}{x}_{n}-{1}$$ for $$n\ge 1$$, then $${x}_{20}-{x}_{19}=$$
2565	[img]0211.jpg[/img][br/]The figure shown represents a board with 4 rows of pegs, and at the bottom of the board are 4 cells numbered 1 to 4. Whenever the ball shown passes through the opening between two adjacent pegs in the same row, it will hit the peg directly beneath the opening. The ball then has the probability $$\frac1 2$$ of passing through the opening immediately to the left of that peg and probability $$\frac1 2$$ of passing through the opening immediately to the right. What is the probability that when the ball passes through the first two pegs at the top it will end in Cell 2?
2566	The function f is defined by $${f}({x})=-\frac{1} x$$ for all nonzero numbers x. If $${f}({a})=-\frac1 2$$ and $${f}({a}{b})=\frac1 6$$, then b =
2569	If $${x}{y}!={0}$$ and $${x}^{2}{y}^{2}-{x}{y}={6}$$, which of the following could be y in terms of x?[br/]I.$$\frac1 {2x}$$[br/]II.$$-\frac2 x$$[br/]III $$\frac3 x$$
2570	If $$k = -1$$, which of the following is (are) true?[br/]I.$${k}^{k}={k}$$[br/]II.$$\mid {k}\mid=-{k}$$[br/]III.$${k}^{0}=-{k}$$
2571	A certain computer program generates a sequence of numbers $${a}_{1}$$, $${a}_{2}$$, … , an such that $${a}_{1}={a}_{2}={1}$$ and $${a}_{k}={a}_{k-1}+{2a}_{k-2}$$ for all integers k such that $$3 \le k\le n$$. If $$n  > 6$$, then $${a}_{7}=$$ ?
