题目ID 	选项ID	待校验公式
2542	16025	$${30}({10}^{5})$$
2542	16026	$$[{3}({10})]^{6}$$
2542	16027	$${30}^{5}$$
2542	16028	$${30}({10}^{6})$$
2542	16029	$${3}({10}^{12})$$
2544	16015	$$\frac{4}{3}$$
2544	16016	$$\frac{8}{3}$$
2545	16010	$$\frac{10}{9}{n}$$
2545	16011	$$\frac{4}{3}{n}$$
2545	16012	$$\frac{3}{2}{n}$$
2545	16013	$$\frac{9}{4}{n}$$
2545	16014	$$\frac{7}{3}{n}$$
2547	16000	$$\frac{1}{15}$$
2547	16001	$$\frac{1}{5}$$
2547	16002	$$\frac{4}{15}$$
2547	16003	$$\frac{1}{3}$$
2547	16004	$$\frac{2}{5}$$
2551	15990	$${2.5}\cdot{10}^{9}$$
2551	15991	$${4.1}\cdot{10}^{9}$$
2551	15992	$${1.9}\cdot{10}^{10}$$
2551	15993	$${2.5}\cdot{10}^{11}$$
2551	15994	$${4.1}\cdot{10}^{11}$$
2553	15980	$${2}^{19}$$
2553	15981	$${2}^{20}$$
2553	15982	$${2}^{21}$$
2553	15983	$${2}^{20}-{1}$$
2553	15984	$${2}^{21}-{1}$$
2562	15940	$$\sqrt[3]{x}$$
2562	15941	$$\sqrt[3]{\frac{2x}{3}}$$
2562	15942	$$\sqrt[3]{\frac{3x}{2}}$$
2562	15943	$$(\frac{2}{3})\sqrt[3]{x}$$
2562	15944	$$(\frac{3}{2})\sqrt[3]{x}$$
2565	15930	$$\frac{1}{16}$$
2565	15931	$$\frac{1}{8}$$
2565	15932	$$\frac{1}{4}$$
2565	15933	$$\frac{3}{8}$$
2565	15934	$$\frac{1}{2}$$
2566	15926	$$\frac{1}{3}$$
2566	15927	$$-\frac{1}{3}$$
2573	15890	$$\frac{11}{100}$$
2573	15891	$$\frac{3}{25}$$
2573	15892	$$\frac{7}{50}$$
2573	15893	$$\frac{3}{20}$$
2573	15894	$$\frac{4}{25}$$
2574	15886	$$(\frac{331}{3})\%$$
2574	15889	$$(\frac{662}{3})\%$$
2579	15870	$${8}\sqrt{2}$$
2579	15872	$${12}\sqrt{2}$$
2582	15855	$$\frac{1}{x}$$
2583	15850	$$\frac{3}{5}$$
2583	15851	$$\frac{1}{2}$$
2583	15852	$$\frac{1}{5}$$
2583	15853	$$\frac{1}{8}$$
2583	15854	$$\frac{1}{32}$$
2584	15845	$$\sqrt{u+10}$$
2584	15846	$$(\sqrt{u}+{10})^{2}$$
2584	15847	$${\sqrt{{u}^{2}+10}}$$
2584	15848	$$({u}+{10})^{2}$$
2584	15849	$$({u}^{2}+{10})^{2}$$
2592	15806	$$\frac{1}{3}$$
2592	15807	$$\frac{2}{5}$$
2592	15808	$$\frac{1}{2}$$
2592	15809	$$\frac{3}{5}$$
2602	15765	$$\frac{1}{4}$$
2602	15766	$$\frac{3}{8}$$
2602	15767	$$\frac{1}{2}$$
