题目id	Latex
2360	If 2 different representatives are to be selected at random from a group of 10 employees and if p is the probability that both representatives selected will be women, is $$p >\frac1 2$$ ?[br/](1)More than $$\frac1 2$$ of the 10 employees are women.[br/](2)The probability that both representatives selected will be men is less than $$\frac1 {10}$$.
2365	Mary persuaded n friends to donate $500 each to her election campaign, and then each of these n friends persuaded n more people to donate $500 each to Mary's campaign. If no one donated more than once and if there were no other donations, what was the value of n?[br/](1)The first n people donated $$\frac1 {16}$$ of the total amount donated.[br/](2)The total amount donated was $120,000.
2393	A box contains 10 light bulbs, fewer than half of which are defective. Two bulbs are to be drawn simultaneously from the box. If n of the bulbs in box are defective, what is the value of n?[br/](1)The probability that the two bulbs to be drawn will be defective is $$\frac 1 {15}$$.[br/](2)The probability that one of the bulbs to be drawn will be defective and the other will not be defective is $$\frac 7 {15}$$.
2407	A total of $60,000 was invested for one year. Part of this amount earned simple annual interest at the rate of x percent per year, and the rest earned simple annual interest at the rate of y percent per year. If the total interest earned by the $60,000 for that year was $4,080, what is the value of x?[br/](1)$${x}=\frac {3y} {4}$$[br/](2)The ratio of the amount that earned interest at the rate of x percent per year to the amount that earned interest at the rate of y percent per year was 3 to 2.
2415	Of the cans of peaches inspected yesterday at a certain plant, 1.5 percent failed to pass inspection. Of the cans that failed inspection, $$\frac5 6$$ were incorrectly labeled and the rest were dented. If all of the cans that were incorrectly labeled or dented failed inspection, how many of the cans of peaches inspected yesterday at the plant were dented?[br/](1)450 of the cans of peaches inspected yesterday at the plant failed to pass inspection.[br/](2)29,550 of the cans of peaches inspected yesterday at the plant passed inspection.
2418	The number n of units of its product that Company X is scheduled to produce in month t of its next fiscal year is given by the formula $${n}=\frac{900} {1+{c2}^{-t}}$$, where c is a constant and t is a positive integer between 1 and 6, inclusive. What is the number of units of its product that Company X is scheduled to produce in month 6 of its next fiscal year?[br/](1)Company X is scheduled to produce 180 units of its product in month 1 of its next fiscal year.[br/](2)Company X is scheduled to produce 300 units of its product in month 2 of its next fiscal year.
2435	When 200 gallons of oil were removed from a tank, the volume of oil left in the tank was $$\frac 3 7$$ of the tank's capacity. What was the tank's capacity?[br/](1)Before the 200 gallons were removed, the volume of oil in the tank was $$\frac1 2$$ of the tank's capacity.[br/](2)After the 200 gallons were removed, the volume of oil left in the tank was 1,600 gallons less than the tank's capacity.
2436	For a certain play performance, adults' tickets were sold for $12 each and children's tickets were sold for $8 each. How many children's tickets were sold for the performance?[br/](1)The total revenue from the sale of adults' and children's tickets for the performance was $5,040.[br/](2)The number of adults' tickets sold for the performance was $$\frac1 3$$ the total number of adults' and children's tickets sold for the performance.
2603	Company S produces two kinds of stereos:basic and deluxe. Of the stereos produced by Company S last month, $$\frac2 3$$ were basic and the rest were deluxe. If it takes $$\frac7 5$$ as many hours to produce a deluxe stereo as it does to produce a basic stereo, then the number of hours it took to produce the deluxe stereos last month was what fraction of the total number of hours it took to produce all the stereos?
2640	A certain business produced x rakes each month form November through February and shipped $$\frac x 2$$ rakes at the beginning of each month from March through October. The business paid no storage costs for the rakes from November through February, but it paid storage costs of $0.10 per rake each month from March through October for the rakes that had not been shipped. In terms of x, what was the total storage cost, in dollars, that the business paid for the rakes for the 12 months form November through October?
